               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.022535,            0.018382,           0.0025482,             0.85489,             0.81718,             0.84784,             0.53823,            0.022791,            0.018535,           0.0044576,            0.009982,            0.009982,            0.009982
                  59,              0.0202,            0.018002,           0.0019423,             0.90595,             0.83167,             0.85539,             0.54892,            0.022444,            0.018879,           0.0034599,           0.0099813,           0.0099813,           0.0099813
                  60,             0.02024,            0.016989,           0.0019313,             0.88758,             0.81427,             0.84617,             0.53148,            0.023537,            0.019549,           0.0047568,           0.0099807,           0.0099807,           0.0099807
                  61,            0.022098,            0.017407,           0.0024932,             0.92888,             0.74086,             0.85265,             0.53355,             0.02316,            0.019355,           0.0039209,             0.00998,             0.00998,             0.00998
                  62,            0.021087,            0.017148,           0.0020006,             0.85988,             0.82427,             0.84726,             0.52866,            0.023387,            0.019322,           0.0045638,           0.0099794,           0.0099794,           0.0099794
                  63,            0.020123,            0.017984,           0.0020829,             0.86898,             0.77518,             0.80568,             0.49673,             0.02359,             0.01986,           0.0044083,           0.0099787,           0.0099787,           0.0099787
                  64,            0.020474,            0.017972,           0.0021101,              0.8484,             0.80936,             0.83656,             0.52115,            0.022857,            0.020579,           0.0043481,            0.009978,            0.009978,            0.009978
                  65,             0.02066,            0.017318,           0.0017955,             0.88468,              0.8137,             0.86336,             0.53138,            0.023165,            0.019095,            0.003837,           0.0099773,           0.0099773,           0.0099773
                  66,            0.019834,             0.01697,           0.0017671,             0.88154,             0.79476,             0.83295,             0.53186,            0.022025,            0.019162,           0.0039281,           0.0099766,           0.0099766,           0.0099766
                  67,            0.018905,            0.016684,            0.001929,             0.92681,              0.7788,             0.83617,             0.54829,            0.022103,            0.019286,           0.0036214,           0.0099758,           0.0099758,           0.0099758
                  68,            0.019551,            0.017047,           0.0023118,              0.8491,             0.77828,             0.80674,             0.50231,             0.02277,            0.019168,           0.0035461,           0.0099751,           0.0099751,           0.0099751
                  69,            0.019421,            0.015997,           0.0016903,             0.89901,             0.80632,             0.83158,             0.52598,            0.022981,            0.019979,           0.0026389,           0.0099744,           0.0099744,           0.0099744
                  70,            0.020952,            0.016524,           0.0017331,             0.87991,             0.79262,             0.84022,             0.51902,            0.024307,            0.020303,           0.0028739,           0.0099736,           0.0099736,           0.0099736
                  71,            0.022108,            0.016127,            0.002094,             0.93761,             0.77672,             0.84854,             0.53675,            0.022866,            0.020352,           0.0030857,           0.0099728,           0.0099728,           0.0099728
                  72,            0.020362,            0.015676,           0.0023757,             0.92229,             0.75586,             0.83442,             0.53682,            0.022691,            0.019689,           0.0028166,            0.009972,            0.009972,            0.009972
                  73,            0.019516,            0.015995,           0.0016063,             0.88948,             0.81992,             0.83016,              0.5143,            0.022507,            0.020067,           0.0030337,           0.0099713,           0.0099713,           0.0099713
                  74,            0.018767,            0.017094,           0.0016409,              0.8773,             0.82334,              0.8369,             0.52532,            0.022472,             0.02002,           0.0035333,           0.0099704,           0.0099704,           0.0099704
                  75,            0.019422,            0.016615,           0.0017224,             0.91831,             0.81916,              0.8569,             0.53288,            0.022088,            0.019912,           0.0028296,           0.0099696,           0.0099696,           0.0099696
                  76,            0.019865,            0.017109,           0.0021488,             0.91895,             0.79158,             0.83903,             0.51496,            0.022397,            0.019997,           0.0031051,           0.0099688,           0.0099688,           0.0099688
                  77,            0.018609,            0.018155,           0.0016261,             0.90548,             0.79784,             0.85138,             0.54002,            0.022571,            0.020525,           0.0033304,            0.009968,            0.009968,            0.009968
                  78,            0.020373,            0.016833,           0.0017914,             0.85803,             0.79094,             0.82794,             0.52197,             0.02232,            0.019935,           0.0037793,           0.0099671,           0.0099671,           0.0099671
